," This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 document considered for the h-index, 1 has been cited at least 1 time.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1980,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,subtotal,>1995,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,1,7,3,2,1,1,0,2,2,0,1,0,3,4,7,4,38,424,462
1980,"Low-temperature properties of the random Heisenberg antiferromagnetic chain","Dasgupta C., Ma S.-K.",01631829,"Physical Review B",22, 3,0,1,7,3,2,1,1,0,2,2,0,1,0,3,4,7,4,38,424,462
