," This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 document considered for the h-index, 1 has been cited at least 1 time.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1995,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,subtotal,>2010,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,34,4,16,12,15,11,13,16,25,20,16,17,14,11,13,12,9,224,204,462
1980,"Low-temperature properties of the random Heisenberg antiferromagnetic chain","Dasgupta C., Ma S.-K.",01631829,"Physical Review B",22, 3,34,4,16,12,15,11,13,16,25,20,16,17,14,11,13,12,9,224,204,462
