," This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 document considered for the h-index, 1 has been cited at least 1 time.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1995,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,subtotal,>2010,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,692,49,62,55,52,58,48,59,48,37,26,32,29,34,20,30,24,663,311,1666
1980,"Critical exponents from field theory","Le Guillou J.C., Zinn-Justin J.",01631829,"Physical Review B",21, 9,692,49,62,55,52,58,48,59,48,37,26,32,29,34,20,30,24,663,311,1666
