," This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 document considered for the h-index, 1 has been cited at least 1 time.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1980,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,subtotal,>1995,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,3,42,44,49,55,46,56,48,52,47,56,41,43,50,60,49,741,925,1666
1980,"Critical exponents from field theory","Le Guillou J.C., Zinn-Justin J.",01631829,"Physical Review B",21, 9,0,3,42,44,49,55,46,56,48,52,47,56,41,43,50,60,49,741,925,1666
