," This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 document considered for the h-index, 1 has been cited at least 1 time.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1980,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,subtotal,>1995,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,3,34,63,103,100,93,100,97,98,89,66,87,83,102,82,62,1262,1603,2865
1980,"Soliton excitations in polyacetylene","Su W.P., Schrieffer J.R., Heeger A.J.",01631829,"Physical Review B",22, 4,0,3,34,63,103,100,93,100,97,98,89,66,87,83,102,82,62,1262,1603,2865
