," This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 document considered for the h-index, 1 has been cited at least 1 time.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1995,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,subtotal,>2010,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1200,62,82,85,66,50,53,61,67,44,58,67,62,53,57,43,49,959,706,2865
1980,"Soliton excitations in polyacetylene","Su W.P., Schrieffer J.R., Heeger A.J.",01631829,"Physical Review B",22, 4,1200,62,82,85,66,50,53,61,67,44,58,67,62,53,57,43,49,959,706,2865
