,"This is a citation overview for a set of 1 documents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 1 (Of the 1 documents considered for the h-index, 1 have been cited at least 1 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<1980,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,Subtotal,>2005,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,5,1,2,2,2,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,6,9,41,949,990
1980,"Neutrino mass problem and gauge hierarchy",03702693,"Physics Letters Section B Nuclear Elementary Particle and High Energy Physics","94","1",0,0,5,1,2,2,2,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,6,9,41,949,990
